1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  fallacy : 1
  lost--than : 1
  French--in : 1
  Pfuel's) : 1
  (again : 1
  war--a : 1
  Petersburg--far : 1
  intermediate : 1
  progression; : 1
  mathematical : 2
  gladsome : 1
  sky: : 1
  disport : 1
  Tremendous : 1
  undignified : 1
  porridge: : 1
  Frenchie : 1
  ga-la : 1
  de-tra-va- : 1
  le-trip-ta-la-de-bu-de-ba : 1
  drawled : 1
  ke-e-e-e : 1
  effort: : 1
  Ke : 1
  Zaletaev : 2
  galant : 1
  vert : 1
  battre : 1
  boire : 1
  triple : 2
  eut : 1
  Sedyablyaka : 1
  Vif-seruvaru : 1
  Vivarika : 1
  rowdy : 1
  Henry : 1
  quatre : 1
  Ce : 1
  Quatre : 1
  Henri : 1
  wag--whom : 1
  plaintively: : 1
  rebukes : 1
  are--a : 1
  lout : 1
  mockingly : 1
  firelight : 1
  swaggerer : 1
  Fifth : 3
  Way : 1
  Milky : 1
  shine : 1
  flagged : 1
  Liar : 1
  Kiselev : 1
  first-class : 1
  him--no : 1
  'Poleon : 1
  'Pardon' : 1
  remembering; : 1
  gobble : 1
  gunpowder' : 1
  theirs' : 1
  off: : 1
  kerchiefs : 1
  'we : 1
  So' : 1
  maggoty : 1
  'But' : 1
  rotted : 1
  smoke' : 1
  'they : 1
  know--well : 1
  dead--where : 1
  birchbark--and : 1
  white-- : 1
  lingo : 1
  jabbered : 2
  make-believes : 1
  Frenchies : 2
  hospital; : 1
  sharp-nosed : 1
  spoils : 1
  Right : 1
  dancer's : 1
  hiccough : 1
  stamping : 1
  here--that's : 1
  Jackdaw : 3
  blazed : 1
  mentally-- : 1
  army--physically : 1
  sifted : 1
  troops)--they : 1
  time--lacking : 1
  incredibly : 1
  stripping : 1
  repairing : 1
  night--some : 1
  north : 1
  Eighth : 2
  accouterments : 1
  Stores : 1
  plied : 1
  choppers : 1
  Axes : 1
  cooking : 1
  (Murat) : 1
  Vice-King : 1
  interlarding : 1
  moderating : 1
  hits : 1
  foul-mouthed : 1
  authoritative : 1
  Merry : 1
  Falling : 1
  thirty- : 1
  haulers : 1
  Lend : 1
  Devils : 1
  Heave : 1
  Oo-oo-oo-oo : 1
  together--shove : 1
  thatch : 1
  crashing : 1
  axes : 2
  lair : 1
  many-limbed : 1
  stacked : 2
  place--a : 1
  purple-black : 1
  expletives : 2
  simplehearted : 1
  bastards : 1
  bloody : 2
  Serves : 1
  cluster : 1
  Worse : 1
  they--you : 1
  Bear : 1
  Hur-r-rah : 1
